Investor Name,Number of Company
Sequoia Capital China,17
SIG Asia Investments,1
Sina Weibo,2
Softbank Group,3
Founders Fund,5
Draper Fisher Jurvetson,1
Rothenberg Ventures,1
Tiger Global Management,18
Shunwei Capital Partners,2
Khosla Ventures,8
LowercaseCapital,1
capitalG,5
Blackbird Ventures,1
Matrix Partners,4
Insight Partners,17
DST Global,13
index Ventures,1
Ribbit Capital,7
Tencent Holdings,11
KKR,3
Smash Ventures,1
Andreessen Horowitz,22
New Enterprise Associates,12
Battery Ventures,8
SoftBank Group,15
Temasek Holdings,3
Forerunner Ventures,2
Crosslink Capital,2
Homebrew,1
Lightspeed India Partners,2
Sequoia Capital India,12
GGV Capital,3
ZhenFund,1
Tencent,3
Hillhouse Capital Management,3
Boyu Capital,2
Accel,25
AltaIR Capital,1
Technology Crossover Ventures,5
Warbug Pincus,1
IDG Capital,6
Accel Partners,2
Sequoia Capital,21
Benchmark,6
Greylock Partners,6
Anthos Capital,2
Longfor Capitalm,1
Gaorong Capital,2
Venture51,1
Lightspeed Venture Partners,14
Google Ventures,8
Lakestar,1
Spar Capital,1
Index Ventures,10
Thirty Five Ventures,1
Sound Ventures,2
83North,3
General Catalyst,13
Institutional Venture Partners,5
Breyer Capital,1
F-Prime Capital,1
Venrock,5
Greenoaks Capital Management,1
Coatue Management,12
Vickers Venture Partners,1
IKEA GreenTech,1
BDT Capital Partners,1
Davidson Kempner Capital Management,1
Spark Capital,3
Y Combinator,11
Caffeinated Capital,1
CRV,3
Founder Collective,1
LTW Capital,1
Legend Capital,1
Qualcomm Ventures,4
Initialized Capital,3
Kleiner Perkins Caufield & Byers,7
Aviation Industry Corporation of China,1
Essence Financial,1
Jiangsu Sha Steel Group,1
Activant Capital,1
Tribe Capital,2
General Atlantic,10
DFJ Growth Fund,1
Addition,2
Accel India,1
SAIF Partners,1
Norwest Venture Partners,4
Collaborative Fund,1
MindWorks Ventures,1
Xiang He Capital,2
General Catalyst Partners,1
GX Capital,1
DJF,1
Salesforce Ventures,4
Storm Ventures,2
Draft Ventures,1
Felicis Ventures,2
Upper90,1
RiverPark Ventures,2
Advent International,3
Matrix Partners China,1
Jump Crypto,1
Bessemer Venture Partners,6
ICONIQ Capital,7
Tencent Investment,1
BA Capital,1
Redalpine Venture Partners,1
Earlybird Venture Capital,2
Valar Ventures,4
Summit Partners,4
Astral Capital,1
Zeev Ventures,3
Vattenfall,1
Volkswagen Group,1
Goldman Sachs,8
Nor-Cal Invest,1
TPG Growth,1
Nintendo,1
Google,2
Pokemon Company International,1
Revo Capital,1
Target Global,1
Durable Capital Partners,1
Mountain Nazca,1
Benhcmark,1
DCM Ventures,2
Global Founders Capital,2
Nortzone Ventures,1
Picus Capital,1
Revolution Ventures,1
American Express Ventures,4
Bain Capital Credit,1
Didi Chuxing,1
Diamler,1
TMT Investments,1
Sutter Hill Ventures,3
Liberty Global Ventures,1
01 Advisors,1
Group 11,1
T. Rowe Associates,1
Lightbank,1
D1 Capital Partners,2
Stripe,1
Kaalari Capital,1
Steadview Capital,1
Tenaya Capital,1
Stripes Group,1
Bloomberg Beta,2
First Round Capital,3
B Capital Group,1
Sixth Street Partners,1
OrbiMed Advisors,1
Highland Capital Management,1
Union Square Ventures,3
Northzone Ventures,1
Social Capital,1
Matrix Partners India,3
Insight Venture Partners,1
Lowercase Capital,1
Polaris Partners,1
Menlo Ventures,3
BOLDstart Ventures,2
Next World Capital,1
Wing Venture Capital,2
Morgan Creek Digital,1
Marcy Venture Partners,1
10T Fund,1
Morningside Group,1
SignalFire,1
Third Point,1
Electric Capital,1
Coinbase Ventures,1
Slack Fund,1
Skip Capital,1
Warburg Pincus,2
Bank Of China Group Investment,1
,1
SDIC CMC Investment Management,1
TA Associates,1
GS Growth,1
BPI France,1
Kerala Ventures,1
Accomplice,1
IA Ventures,2
VY Capital,2
Atomico,3
Barter Ventures,1
Thrive Capital,8
MenloVentures,1
Warmsun Holding,1
IDG Capital Partners,1
Pine Brook,1
